NAME,TICKER,COUNTRY,WEIGHT,SECTOR,Date,Currency,ISIN
MicroStrategy Inc-CL A,MSTR UW,UNITED STATES,7.5%,Cryptos in Balance Sheet,2025-01-06,INR,0123456789
BitDeer Technologies Group,BTDR US,UNITED STATES,5.5%,Mining,2025-01-06,INR,0123456789
Coinbase Global Inc -Class A,COIN UW,UNITED STATES,5.5%,Financial Service Provider,2025-01-06,INR,0123456789
Marathon Digital Holdings Inc.,MARA UR,UNITED STATES,5.4%,Mining,2025-01-06,INR,0123456789
Bakkt Holdings Inc,BKKT US,,5.2%,,2025-01-06,INR,0123456789
Cleanspark Inc,CLSK UR,UNITED STATES,5.0%,Mining,2025-01-06,INR,0123456789
Riot Blockchain Inc,RIOT UR,UNITED STATES,4.8%,Mining,2025-01-06,INR,0123456789
Hut 8 Mining Corp,HUT US,CANADA,4.4%,Mining,2025-01-06,INR,0123456789
Canaan Inc,CAN UQ,CHINA,4.0%,Mining,2025-01-06,INR,0123456789
Cipher Mining Inc,CIFR UW,UNITED STATES,3.9%,Mining,2025-01-06,INR,0123456789
